,item_name,review_title,review_content,review_date,review_star,dog_breed,dog_age
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['사료 굳굳!'], '배변 냄새도 많이 안나고 알맹이 크기도 딱 좋아요ㅎㅎ', ['2015.06.15.'], '5 Stars', ['포메라니안'], [' · 2살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['또 주문했어요^^'], '항상 네코브랜드에서 사료 주문하는데 요 제품 가격대비 양도 많고 애들도 잘 먹고 그렇다고 재료의 질이 나쁜것도 아니라 자주 시킬 것 같아요!', ['2015.06.07.'], '5 Stars', ['재패니즈 스피츠'], [' · 6살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['4번째사요~'], '처음엔 가격이싸서 그냥먹여봤는데\n먹여보니까 애들이 너무잘먹어서 계속구매하고있네요\n\n말티즈랑 요크셔테리어 2마리키우고있는데 응가냄새도 괜찮고 배변색깔 좋습니다~~!', ['2015.05.30.'], '4 Stars', ['말티즈'], [' · 3살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['아기들'], ' 시츄랑 말티즈 키우는데 정말잘 먹네요 ~벌써 두번째 구매중입니다 ~', ['2015.05.29.'], '5 Stars', ['시츄'], [' · 3살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['매번 믿고 구입하는.'], '애들이 잘 먹고 있어 믿고 구입하는 내추럴코어 사료입니다.', ['2015.05.28.'], '5 Stars', ['푸들'], [' · 5살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['매일시키는 ㅋㅋㅋ'], '미리주문했어야했는데 ㅜㅜ....\n이제 한봉지뿐이안남았는데..쉬는날이섞여있어서...', ['2015.05.23.'], '5 Stars', ['말티즈'], [' · 9살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['애들이짱좋아해요'], '먹기도잘먹고\n저렴한데양도많&#44283;ㅎㅎㅎ\n네코짱이에요!', ['2014.05.18.'], '5 Stars', ['푸들'], [' · 0살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['늘 먹던거여요'], '얘들 잘 먹습니다^^', ['2021.04.05.'], '5 Stars', ['푸들'], [' · 10살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['아이가 잘먹어요.'], '배송도빠르고 아이가 잘먹어서 좋아요.', ['2021.04.04.'], '5 Stars', ['휘핏'], [' · 3살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['좋아요'], '기호성도 좋고 알이\n커서 좋아요', ['2021.04.04.'], '5 Stars', ['비숑 프리제'], [' · 5살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['좋아요'], '아이들이 좋아해요 기호성이 젛아요', ['2021.04.04.'], '5 Stars', ['비숑 프리제'], [' · 5살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['4살 시바견 잘 먹어요'], '특이한 반응 없이 잘 먹습니다', ['2021.04.02.'], '5 Stars', ['시바 이누'], [' · 4살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['항상먹어요'], 'ㅎ항상 먹어요!~~', ['2021.04.01.'], '5 Stars', ['미니핀'], [' · 10살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['양이 줄었네요?'], '항상 7.2키로 샀는데  지난번 구입 때 6키로 줄었듬.', ['2021.03.31.'], '5 Stars', ['진돗개'], [' · 5살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['사료는 무조건!'], '낱개 포장되어 있고 \n너무 잘 먹어서 매번 사료로 주문하고 있어요 ㅎㅎ', ['2021.03.31.'], '5 Stars', ['재패니즈 스피츠'], [' · 9살']
